Title,Note,URL,Comment
Westwood Park,,https://www.google.com/maps/place/Westwood+Park/data=!4m2!3m1!1s0x808f7dd304c7061b:0xa22d3a31e87e2ea4,
The Bookhouse Pub,,https://www.google.com/maps/place/The+Bookhouse+Pub/data=!4m2!3m1!1s0x88f5041a20c576bb:0x71b8b303233b6be1,
Northside Tavern,,https://www.google.com/maps/place/Northside+Tavern/data=!4m2!3m1!1s0x88f504ec9f5e5af5:0x67c899d06bfd8c66,
Vondelpark,,https://www.google.com/maps/place/Vondelpark/data=!4m2!3m1!1s0x47c609e2c5b47ccf:0x6cd478550520ca35,
Rijksmuseum,,https://www.google.com/maps/place/Rijksmuseum/data=!4m2!3m1!1s0x47c609eec1bb16e5:0xd54373ae6a408585,
The Steamhouse Lounge,,https://www.google.com/maps/place/The+Steamhouse+Lounge/data=!4m2!3m1!1s0x88f5045d02e39b59:0xd04b16c216234a5f,
The Local,,https://www.google.com/maps/place/The+Local/data=!4m2!3m1!1s0x88f5041a2a54f0c5:0xdb613cacc8507e91,
Bones Restaurant,,https://www.google.com/maps/place/Bones+Restaurant/data=!4m2!3m1!1s0x88f505f4174f20f5:0x60561158f467afc6,
Porsche Experience Center Atlanta,,https://www.google.com/maps/place/Porsche+Experience+Center+Atlanta/data=!4m2!3m1!1s0x88f4fd74e2210b21:0xc444bbcf0edf25b6,
Eats,,https://www.google.com/maps/place/Eats/data=!4m2!3m1!1s0x88f50410d7981077:0x526b24b3a0dafd30,
33 Short St,,https://www.google.com/maps/place/33+Short+St/data=!4m2!3m1!1s0x8859f3557d46dc81:0x98f8ed80ee585d09,
Maple Street Biscuit Company- Woodstock,,https://www.google.com/maps/place/Maple+Street+Biscuit+Company-+Woodstock/data=!4m2!3m1!1s0x88f56bd0454bd78f:0xcf564c5d6fe4051f,
Maple Street Biscuit Company - Parsons Alley,,https://www.google.com/maps/place/Maple+Street+Biscuit+Company+-+Parsons+Alley/data=!4m2!3m1!1s0x88f5bd3083712be3:0xb68abeefcf4eac03,
Maple Street Biscuit Company- Alpharetta,,https://www.google.com/maps/place/Maple+Street+Biscuit+Company-+Alpharetta/data=!4m2!3m1!1s0x88f57591cf7e6725:0x8e193ad67850f19e,
Fox Bros. Bar-B-Q,,https://www.google.com/maps/place/Fox+Bros.+Bar-B-Q/data=!4m2!3m1!1s0x88f506ac3f20a03d:0x31ca1311b3121719,
FamFam Private Room Karaoke Club,,https://www.google.com/maps/place/FamFam+Private+Room+Karaoke+Club/data=!4m2!3m1!1s0x88f503ed82b43d15:0x1df860148a0a2a61,
Clermont Lounge,,https://www.google.com/maps/place/Clermont+Lounge/data=!4m2!3m1!1s0x88f5041bda961091:0xef2f68b1eb7ea0e,
Eleventh Street Pub,,https://www.google.com/maps/place/Eleventh+Street+Pub/data=!4m2!3m1!1s0x88f5045d1b4d7ba3:0xdba86c6e2c92dd78,
Samsara,,https://www.google.com/maps/place/Samsara/data=!4m2!3m1!1s0x88f5052258cf12c7:0xdc2340836a7e5b77,
Golden Boy Pizza,,https://www.google.com/maps/place/Golden+Boy+Pizza/data=!4m2!3m1!1s0x0:0xe113f26b1f7d55ae,
Jane The Bakery,,https://www.google.com/maps/place/Jane+The+Bakery/data=!4m2!3m1!1s0x0:0xc66d155748e1a74b,
Bar Shiru,,https://www.google.com/maps/place/Bar+Shiru/data=!4m2!3m1!1s0x808f81fafcc1c5ef:0x19e6e77cf4dbaea,
Black Cat,,https://www.google.com/maps/place/Black+Cat/data=!4m2!3m1!1s0x0:0xe6dbbc8d390c5578,
Ruby Room,,https://www.google.com/maps/place/Ruby+Room/data=!4m2!3m1!1s0x808f874a9742ded3:0x8cf92ab2e4286d26,
Chez Panisse,,https://www.google.com/maps/place/Chez+Panisse/data=!4m2!3m1!1s0x80857ea1255c8b71:0x4163509ac1eb5cf9,
House of Pancakes,,https://www.google.com/maps/place/House+of+Pancakes/data=!4m2!3m1!1s0x808f7d919ee7be5f:0x87b94c2a9d332efb,
Java Beach Café,,https://www.google.com/maps/place/Java+Beach+Caf%C3%A9/data=!4m2!3m1!1s0x808587969d812a81:0xe153ea7a8d729785,
CatHead's BBQ,,https://www.google.com/maps/place/CatHead's+BBQ/data=!4m2!3m1!1s0x808f7e265952a505:0xe4e99aeae4345686,
L'acajou Bakery and Cafe,,https://www.google.com/maps/place/L'acajou+Bakery+and+Cafe/data=!4m2!3m1!1s0x0:0xe6859d703c343638,
Ju-Ni,,https://www.google.com/maps/place/Ju-Ni/data=!4m2!3m1!1s0x808580b1c8cede0b:0xc7934c15cbf08de1,
b. patisserie,,https://www.google.com/maps/place/b.+patisserie/data=!4m2!3m1!1s0x808580c961a0d5e7:0xea755410f0b98bb,
Han Il Kwan,,https://www.google.com/maps/place/Han+Il+Kwan/data=!4m2!3m1!1s0x80858712366ca223:0x33fbb2cde7057379,
Toyose,,https://www.google.com/maps/place/Toyose/data=!4m2!3m1!1s0x8085878f9f9f11cf:0xfd64eba5d8632b7b,
The Crew,,https://www.google.com/maps/place/The+Crew/data=!4m2!3m1!1s0x8085876286ae232d:0x84c51fe85bb63313,
Golden Island Cafe,,https://www.google.com/maps/place/Golden+Island+Cafe/data=!4m2!3m1!1s0x808587627f586a95:0x9b37fee4eeebbdbe,
Tiki Haven,,https://www.google.com/maps/place/Tiki+Haven/data=!4m2!3m1!1s0x8085876281550b35:0x721816190fae7b2c,
Pineapple King Bakery,,https://www.google.com/maps/place/Pineapple+King+Bakery/data=!4m2!3m1!1s0x808587657d6e6007:0xbf8260323811d52a,
Flour + Water,,https://www.google.com/maps/place/Flour+%2B+Water/data=!4m2!3m1!1s0x808f7e375e82560d:0x672c242d518603e0,
Chili House SF,,https://www.google.com/maps/place/Chili+House+SF/data=!4m2!3m1!1s0x8085873db04a299d:0x6783ac50b0804eba,
Henry's Hunan,,https://www.google.com/maps/place/Henry's+Hunan/data=!4m2!3m1!1s0x8085807d24a12a39:0xab033f32203b7de4,
